Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2017;1;Usaquén;22.0;528924.0;4.2
2017;2;Chapinero;15.0;154506.0;9.7
2017;3;Santa Fe;9.0;102984.0;8.7
2017;4;San Cristóbal;24.0;382696.0;6.3
2017;5;Usme;22.0;358813.0;6.1
2017;6;Tunjuelito;29.0;170440.0;17.0
2017;7;Bosa;31.0;684570.0;4.5
2017;8;Kennedy;88.0;1009665.0;8.7
2017;9;Fontibón;36.0;361474.0;10.0
2017;10;Engativá;42.0;786139.0;5.3
2017;11;Suba;52.0;1137868.0;4.6
2017;12;Barrios Unidos;25.0;133890.0;18.7
2017;13;Teusaquillo;23.0;143211.0;16.1
2017;14;Los Mártires;24.0;73112.0;32.8
2017;15;Antonio Nariño;11.0;79336.0;13.9
2017;16;Puente Aranda;33.0;241114.0;13.7
2017;17;La Candelaria;0.0;17049.0;0.0
2017;18;Rafael Uribe Uribe;19.0;361722.0;5.3
2017;19;Ciudad Bolívar;44.0;606799.0;7.3
2017;20;Sumapaz;0.0;3137.0;0.0
2018;1;Usaquén;34.0;535693.0;6.3
2018;2;Chapinero;19.0;156479.0;12.1
2018;3;Santa Fe;9.0;103985.0;8.7
2018;4;San Cristóbal;16.0;385514.0;4.2
2018;5;Usme;34.0;363394.0;9.4
2018;6;Tunjuelito;30.0;171632.0;17.5
2018;7;Bosa;28.0;694397.0;4.0
2018;8;Kennedy;66.0;1019748.0;6.5
2018;9;Fontibón;45.0;365884.0;12.3
2018;10;Engativá;50.0;792518.0;6.3
2018;11;Suba;33.0;1152387.0;2.9
2018;12;Barrios Unidos;16.0;133126.0;12.0
2018;13;Teusaquillo;27.0;144526.0;18.7
2018;14;Los Mártires;16.0;73277.0;21.8
2018;15;Antonio Nariño;17.0;79229.0;21.5
2018;16;Puente Aranda;34.0;242905.0;14.0
2018;17;La Candelaria;0.0;17075.0;0.0
2018;18;Rafael Uribe Uribe;16.0;364532.0;4.4
2018;19;Ciudad Bolívar;34.0;613127.0;5.5
2018;20;Sumapaz;1.0;3138.0;31.9
2019;1;Usaquén;38.0;550706.0;6.9
2019;2;Chapinero;13.0;163148.0;8.0
2019;3;Santa Fe;18.0;105926.0;17.0
2019;4;San Cristóbal;25.0;392322.0;6.4
2019;5;Usme;23.0;374887.0;6.1
2019;6;Tunjuelito;20.0;175481.0;11.4
2019;7;Bosa;39.0;707173.0;5.5
2019;8;Kennedy;56.0;1027373.0;5.5
2019;9;Fontibón;38.0;377118.0;10.1
2019;10;Engativá;50.0;802780.0;6.2
2019;11;Suba;38.0;1192644.0;3.2
2019;12;Barrios Unidos;9.0;138316.0;6.5
2019;13;Teusaquillo;18.0;152414.0;11.8
2019;14;Los Mártires;18.0;82957.0;21.7
2019;15;Antonio Nariño;5.0;80095.0;6.2
2019;16;Puente Aranda;34.0;247237.0;13.8
2019;17;La Candelaria;3.0;17345.0;17.3
2019;18;Rafael Uribe Uribe;24.0;372981.0;6.4
2019;19;Ciudad Bolívar;38.0;628670.0;6.0
2019;20;Sumapaz;2.0;3298.0;60.6
2020;1;Usaquén;33.0;558873.0;5.9
2020;2;Chapinero;10.0;165952.0;6.0
2020;3;Santa Fe;10.0;107824.0;9.3
