"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"1,""A000057026"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"2,""A000057029"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""CON HERIDOS"""
"3,""A000057030"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""CON HERIDOS"""
"4,""A000057022"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""SOLO DAÑOS"""
"5,""A000056976"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""SOLO DAÑOS"""
"6,""A000056985"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""CON HERIDOS"""
"7,""A000057027"",""2017-03-14T00:00:00.000"",""2017"",""3"",""martes"",""SOLO DAÑOS"""
"8,""A000057023"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"9,""A000057031"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"10,""A000057035"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"11,""A000057038"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""SOLO DAÑOS"""
"12,""A000057028"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"13,""A000057036"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""SOLO DAÑOS"""
"14,""A000057037"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""SOLO DAÑOS"""
"15,""A000057032"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"16,""A000057039"",""2017-03-16T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"17,""A000057040"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"18,""A000057051"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"19,""A000057050"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"20,""A000057041"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"21,""A000057043"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"22,""A000057052"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"23,""A000057042"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"24,""A000057053"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"25,""A000057033"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"26,""A000057034"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"27,""A000057054"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"28,""A000057044"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""SOLO DAÑOS"""
"29,""A000057055"",""2017-03-22T00:00:00.000"",""2017"",""3"",""miércoles"",""CON HERIDOS"""
"30,""A000057059"",""2017-03-23T00:00:00.000"",""2017"",""3"",""jueves"",""CON HERIDOS"""
"31,""A000057003"",""2017-03-27T00:00:00.000"",""2017"",""3"",""lunes"",""CON HERIDOS"""
"32,""A000056999"",""2017-03-27T00:00:00.000"",""2017"",""3"",""lunes"",""SOLO DAÑOS"""
"33,""A000057001"",""2017-03-27T00:00:00.000"",""2017"",""3"",""lunes"",""CON HERIDOS"""
