Año;Código;Localidad;Casos;Población;Tasa X 100.000 habitantes
2017;1;Usaquén;22;528924;4,2
2017;2;Chapinero;15;154506;9,7
2017;3;Santa Fe;9;102984;8,7
2017;4;San Cristóbal;24;382696;6,3
2017;5;Usme;22;358813;6,1
2017;6;Tunjuelito;29;170440;17
2017;7;Bosa;31;684570;4,5
2017;8;Kennedy;88;1009665;8,7
2017;9;Fontibón;36;361474;10
2017;10;Engativá;42;786139;5,3
2017;11;Suba;52;1137868;4,6
2017;12;Barrios Unidos;25;133890;18,7
2017;13;Teusaquillo;23;143211;16,1
2017;14;Los Mártires;24;73112;32,8
2017;15;Antonio Nariño;11;79336;13,9
2017;16;Puente Aranda;33;241114;13,7
2017;17;La Candelaria;;17049;0
2017;18;Rafael Uribe Uribe;19;361722;5,3
2017;19;Ciudad Bolívar;44;606799;7,3
2017;20;Sumapaz;0;3137;0
2017;99;Sin dato;4;0;0
2017;0;Distrito;553;7337449;7,5
2018;1;Usaquén;34;535693;6,3
2018;2;Chapinero;19;156479;12,1
2018;3;Santa Fe;9;103985;8,7
2018;4;San Cristóbal;16;385514;4,2
2018;5;Usme;34;363394;9,4
2018;6;Tunjuelito;30;171632;17,5
2018;7;Bosa;28;694397;4
2018;8;Kennedy;66;1019748;6,5
2018;9;Fontibón;45;365884;12,3
2018;10;Engativá;50;792518;6,3
2018;11;Suba;33;1152387;2,9
2018;12;Barrios Unidos;16;133126;12
2018;13;Teusaquillo;27;144526;18,7
2018;14;Los Mártires;16;73277;21,8
2018;15;Antonio Nariño;17;79229;21,5
2018;16;Puente Aranda;34;242905;14
2018;17;La Candelaria;0;17075;0
2018;18;Rafael Uribe Uribe;16;364532;4,4
2018;19;Ciudad Bolívar;34;613127;5,5
2018;20;Sumapaz;1;3138;31,9
2018;99;Sin dato;11;0;0
2018;0;Distrito;527;7412566;7,1
2019;1;Usaquén;38;550706;6,9
2019;2;Chapinero;13;163148;8
2019;3;Santa Fe;18;105926;17
2019;4;San Cristóbal;25;392322;6,4
2019;5;Usme;23;374887;6,1
2019;6;Tunjuelito;20;175481;11,4
2019;7;Bosa;39;707173;5,5
2019;8;Kennedy;56;1027373;5,5
2019;9;Fontibón;38;377118;10,1
2019;10;Engativá;50;802780;6,2
2019;11;Suba;38;1192644;3,2
2019;12;Barrios Unidos;9;138316;6,5
2019;13;Teusaquillo;18;152414;11,8
2019;14;Los Mártires;18;82957;21,7
2019;15;Antonio Nariño;5;80095;6,2
2019;16;Puente Aranda;34;247237;13,8
2019;17;La Candelaria;3;17345;17,3
2019;18;Rafael Uribe Uribe;24;372981;6,4
2019;19;Ciudad Bolívar;38;628670;6
2019;20;Sumapaz;2;3298;60,6
2019;99;Sin dato;14;0;0
2019;0;Distrito;523;7592871;6,9
2020;1;Usaquén;33;558873;5,9
2020;2;Chapinero;10;165952;6
2020;3;Santa Fe;10;107824;9,3
2020;4;San Cristóbal;17;399766;4,3
2020;5;Usme;19;383401;5
2020;6;Tunjuelito;17;178491;9,5
2020;7;Bosa;21;722905;2,9
2020;8;Kennedy;54;1046951;5,2
2020;9;Fontibón;21;383577;5,5
2020;10;Engativá;41;816160;5
2020;11;Suba;27;1213498;2,2
2020;12;Barrios Unidos;11;140237;7,8
2020;13;Teusaquillo;4;154339;2,6
2020;14;Los Mártires;13;84302;15,4
2020;15;Antonio Nariño;11;81356;13,5
2020;16;Puente Aranda;28;250855;11,2
2020;17;La Candelaria;3;17508;17,1
2020;18;Rafael Uribe Uribe;15;379794;3,9
2020;19;Ciudad Bolívar;36;642989;5,6
2020;20;Sumapaz;1;3383;29,6
2020;99;Sin dato;14;;0
2020;0;Distrito;406;7732161;5,3
2021;1;Usaquén;32;567.530;5,6
2021;2;Chapinero;11;166.903;6,6
2021;3;Santa Fe;21;109.831;19,1
2021;4;San Cristóbal;23;401.341;5,7
2021;5;Usme;25;388.786;6,4
2021;6;Tunjuelito;24;179.052;13,4
2021;7;Bosa;33;735.259;4,5
2021;8;Kennedy;73;1.061.182;6,9
2021;9;Fontibón;31;388.044;8
2021;10;Engativá;43;824.322;5,2
2021;11;Suba;38;1.230.255;3,1
2021;12;Barrios Unidos;11;140.987;7,8
2021;13;Teusaquillo;17;156.451;10,9
